Ticker,Company
FIG,Figma
TTD,Trade Desk
DUOL,Duolingo
HUBS,HubSpot
MNDY,monday.com
WIX,WIX
TEAM,Atlassian
ASAN,Asana
CVLT,Commvault
DOCS,Doximity
KVYO,Klaviyo
BRZE,Braze
IOT,Samsara
GTLB,GitLab
NOW,ServiceNow
DOCU,DocuSign
GWRE,Guidewire
ESTC,Elastic
CLBT,Cellebrite
CRM,Salesforce
WDAY,Workday
INTU,Intuit
ADBE,Adobe
SAP,SAP
DDOG,Datadog
VEEV,Veeva
SNOW,Snowflake
ZETA,Zeta
ADP,ADP
FSLY,Fastly
ADSK,Autodesk
CFLT,Confluent
TWLO,Twilio
MDB,MongoDB
ZM,Zoom
AGYS,Agilysys
AI,C3 AI
AKAM,Akamai
ALIT,Alight
ALKT,Alkami Technology
AMPL,Amplitude
APCX,AppTech Payments
APP,AppLovin
APPF,AppFolio
APPN,Appian
APPS,Digital Turbine
ASUR,Asure Software
AVPT,AvePoint
AWRE,Aware
BILL,BILL Holdings
BLBX,Blackboxstocks
BLND,Blend Labs
BLZE,Backblaze
BMBL,Bumble
BOX,Box
BSY,Bentley Systems
CERT,Certara
CGNT,Cognyte Software
CHKP,Check Point Software Technologies
CMRC,Big Commerce
COUR,Coursera
CRCL,Circle
CRWD,CrowdStrike
CSGS,CSG International
CWAN,Clearwater Analytics
CXM,Sprinklr
CYBR,CyberArk
DBX,Dropbox
DCBO,Docebo
DFIN,Donnelley Financial Solutions
DOCN,DigitalOcean
DOMO,Domo
DSGX,Descartes Systems
DT,Dynatrace
DV,DoubleVerify
EB,Eventbrite
EGAN,eGain
EGHT,8Ã—8
EVCM,EverCommerce
EXFY,Expensify
FFIV,F5 Networks
FIVN,Five9
FROG,Jfrog
FRSH,Freshworks
FTNT,Fortinet
GDDY,Godaddy
GEN,Gen Digital
GENI,Genius Sports
GTM,ZoomInfo
HCAT,Health Catalyst
IDN,Intellicheck
JAMF,Jamf
KARO,Karooooo
KC,KingSoft Cloud
KLTR,Kaltura
LAW,CS Disco
LPSN,LivePerson
LSPD,Lightspeed POS
LZ,LegalZoom
MITK,Mitek Systems
MQ,Marqeta
MSTR,MicroStrategy
MTCH,Match Group
MYSZ,My Size
NABL,N-Able
NCNO,Ncino
NET,Cloudflare
NFLX,Netflix
NICE,Nice
NOTE,FiscalNote Holdings
NRDY,Nerdy
OKTA,Okta
ORCL,Oracle
OS,OneStream
OSPN,OneSpan
OTEX,OpenText
PANW,Palo Alto Networks
PAR,PAR Technology
PATH,UiPath
PAYC,Paycom
PCTY,Paylocity
PD,PagerDuty
PEGA,Pegasystems
PERI,Perion Network
PLTR,Palantir
PUBM,PubMatic
QLYS,Qualys
RAMP,LiveRamp
RBRK,Rubrik
RNG,RingCentral
RPD,Rapid7
RSKD,Riskified
RUM,Rumble
RXT,Rackspace Technology
S,SentinelOne
SABR,Sabre
SEMR,Semrush
SHOP,Shopify
SMWB,Similarweb
SNPS,Synopsys
SOUN,SoundHound AI
SPOK,Spok Holdings
SPOT,Spotify
SPSC,SPS Commerce
SPT,Sprout Social
SSNC,SS&C Technologies
TDOC,Livongo
TEAD,Teads Holding
TENB,Tenable
THRY,Thryv
TOST,Toast
TTGT,TechTarget
UDMY,Udemy
UPLD,Upland Software
VERX,Vertex
VRNS,Varonis
VTEX,VTEX
WEAV,Weave Communications
YEXT,Yext
ZS,Zscaler
